ID,total,param,local,global,compiles,time,J,GFLOP/s,GFLOP/watt,status
286,578,0   32   64   32   16   32   16   32    2    1    2    0    0    1    1    1,16      32,2048    2048,OK      9 ms,46.31 ms,4.89,2967.5,28.1,results match
287,578,0   32   64   32   16   32   16   32    2    2    1    0    0    0    0    1,16      32,2048    2048,OK      8 ms,64.34 ms,7.06,2135.8,19.5,results match
288,578,0   32   64   32   16   32   16   32    2    2    1    0    0    1    1    1,16      32,2048    2048,OK     10 ms,44.01 ms,4.81,3122.7,28.6,results match
289,578,0   32   64   32   16   32   16   32    2    2    2    0    0    0    0    1,16      32,2048    2048,OK     10 ms,51.88 ms,5.93,2649.0,23.2,results match
290,578,0   32   64   32   16   32   16   32    2    2    2    0    0    1    1    1,16      32,2048    2048,OK     10 ms,41.84 ms,4.60,3284.6,29.9,results match
291,578,0   32   64   32   32    8   32    8    2    1    1    0    0    0    0    1,32       8,4096     512,OK     11 ms,70.12 ms,7.49,1959.8,18.4,results match
292,578,0   32   64   32   32    8   32    8    2    1    1    0    0    1    1    1,32       8,4096     512,OK      9 ms,58.68 ms,6.10,2341.9,22.5,results match
293,578,0   32   64   32   32    8   32    8    2    1    2    0    0    0    0    1,32       8,4096     512,OK      9 ms,53.93 ms,5.94,2548.3,23.1,results match
294,578,0   32   64   32   32    8   32    8    2    1    2    0    0    1    1    1,32       8,4096     512,OK     11 ms,44.90 ms,4.80,3060.3,28.6,results match
295,578,0   32   64   32   32    8   32    8    2    1    4    0    0    0    0    1,32       8,4096     512,OK     10 ms,50.72 ms,5.72,2709.4,24.0,results match
296,578,0   32   64   32   32    8   32    8    2    1    4    0    0    1    1    1,32       8,4096     512,OK     10 ms,40.20 ms,4.39,3418.5,31.3,results match
297,578,0   32   64   32   32   16   32   16    2    1    1    0    0    0    0    1,32      16,4096    1024,OK     10 ms,81.14 ms,8.53,1693.6,16.1,results match
298,578,0   32   64   32   32   16   32   16    2    1    1    0    0    1    1    1,32      16,4096    1024,OK     10 ms,61.11 ms,6.37,2248.8,21.6,results match
299,578,0   32   64   32   32   16   32   16    2    1    2    0    0    0    0    1,32      16,4096    1024,OK     12 ms,65.70 ms,6.99,2091.5,19.7,results match
300,578,0   32   64   32   32   16   32   16    2    1    2    0    0    1    1    1,32      16,4096    1024,OK     10 ms,48.41 ms,5.12,2838.6,26.8,results match
301,578,0   32   64   32   32   16   32   16    2    1    4    0    0    0    0    1,32      16,4096    1024,OK     11 ms,56.63 ms,6.40,2426.6,21.5,results match
302,578,0   32   64   32   32   16   32   16    2    1    4    0    0    1    1    1,32      16,4096    1024,OK     10 ms,43.32 ms,4.66,3172.0,29.5,results match
303,578,0   32   64   32   32   32   32   32    2    1    1    0    0    0    0    1,32      32,4096    2048,OK     10 ms,106.34 ms,11.05,1292.3,12.4,results match
304,578,0   32   64   32   32   32   32   32    2    1    1    0    0    1    1    1,32      32,4096    2048,OK     11 ms,67.56 ms,6.95,2034.1,19.8,results match
305,578,0   32   64   32   32   32   32   32    2    1    2    0    0    0    0    1,32      32,4096    2048,OK      9 ms,81.22 ms,8.86,1692.0,15.5,results match
306,578,0   32   64   32   32   32   32   32    2    1    2    0    0    1    1    1,32      32,4096    2048,OK     10 ms,54.47 ms,5.69,2522.7,24.2,results match
307,578,0   64   16   32    8    8    8    8    2    1    1    0    0    0    0    1,8       8,512    2048,OK      8 ms,56.66 ms,6.85,2425.3,20.1,results match
308,578,0   64   16   32    8    8    8    8    2    1    1    0    0    1    1    1,8       8,512    2048,OK      9 ms,65.05 ms,7.77,2112.5,17.7,results match
309,578,0   64   16   32    8    8    8    8    2    1    2    0    0    0    0    1,8       8,512    2048,OK     10 ms,54.08 ms,6.69,2541.2,20.5,results match
