ID,total,param,local,global,compiles,time,J,GFLOP/s,GFLOP/watt,status
422,578,0   64   32   32   16   32   16   32    2    1    1    0    0    1    1    1,16      32,1024    4096,OK     22 ms,72.66 ms,7.56,1891.3,18.2,results match
423,578,0   64   32   32   16   32   16   32    2    2    1    0    0    0    0    1,16      32,1024    4096,OK      9 ms,71.81 ms,8.26,1913.6,16.6,results match
424,578,0   64   32   32   16   32   16   32    2    2    1    0    0    1    1    1,16      32,1024    4096,OK     10 ms,66.48 ms,7.27,2067.2,18.9,results match
425,578,0   64   32   32   16   32   16   32    2    4    1    0    0    0    0    1,16      32,1024    4096,OK     17 ms,58.72 ms,6.88,2340.4,20.0,results match
426,578,0   64   32   32   16   32   16   32    2    4    1    0    0    1    1    1,16      32,1024    4096,OK     10 ms,50.05 ms,5.82,2745.7,23.6,results match
427,578,0   64   32   32   32    8   32    8    2    1    1    0    0    0    0    1,32       8,2048    1024,OK     19 ms,57.03 ms,6.34,2409.8,21.7,results match
428,578,0   64   32   32   32    8   32    8    2    1    1    0    0    1    1    1,32       8,2048    1024,OK      9 ms,49.48 ms,5.50,2777.5,25.0,results match
429,578,0   64   32   32   32    8   32    8    2    1    2    0    0    0    0    1,32       8,2048    1024,OK     11 ms,49.73 ms,5.72,2763.2,24.0,results match
430,578,0   64   32   32   32    8   32    8    2    1    2    0    0    1    1    1,32       8,2048    1024,OK     11 ms,43.12 ms,4.97,3187.1,27.6,results match
431,578,0   64   32   32   32    8   32    8    2    1    4    0    0    0    0    1,32       8,2048    1024,OK     15 ms,44.68 ms,5.32,3075.8,25.8,results match
432,578,0   64   32   32   32    8   32    8    2    1    4    0    0    1    1    1,32       8,2048    1024,OK     10 ms,40.79 ms,4.75,3369.1,28.9,results match
433,578,0   64   32   32   32    8   32    8    2    2    1    0    0    0    0    1,32       8,2048    1024,OK     10 ms,51.63 ms,5.55,2661.5,24.8,results match
434,578,0   64   32   32   32    8   32    8    2    2    1    0    0    1    1    1,32       8,2048    1024,OK      9 ms,38.15 ms,4.45,3602.4,30.9,results match
435,578,0   64   32   32   32    8   32    8    2    2    2    0    0    0    0    1,32       8,2048    1024,OK     10 ms,48.89 ms,5.71,2810.7,24.1,results match
436,578,0   64   32   32   32    8   32    8    2    2    2    0    0    1    1    1,32       8,2048    1024,OK     15 ms,38.07 ms,4.41,3609.9,31.2,results match
437,578,0   64   32   32   32    8   32    8    2    2    4    0    0    0    0    1,32       8,2048    1024,OK     20 ms,40.63 ms,4.89,3382.2,28.1,results match
438,578,0   64   32   32   32    8   32    8    2    2    4    0    0    1    1    1,32       8,2048    1024,OK     10 ms,35.16 ms,4.19,3908.2,32.8,results match
439,578,0   64   32   32   32   16   32   16    2    1    1    0    0    0    0    1,32      16,2048    2048,OK     11 ms,74.30 ms,8.34,1849.7,16.5,results match
440,578,0   64   32   32   32   16   32   16    2    1    1    0    0    1    1    1,32      16,2048    2048,OK     10 ms,59.65 ms,6.53,2303.9,21.1,results match
441,578,0   64   32   32   32   16   32   16    2    1    2    0    0    0    0    1,32      16,2048    2048,OK      9 ms,67.44 ms,7.64,2037.7,18.0,results match
442,578,0   64   32   32   32   16   32   16    2    1    2    0    0    1    1    1,32      16,2048    2048,OK     12 ms,52.40 ms,5.78,2622.4,23.8,results match
443,578,0   64   32   32   32   16   32   16    2    2    1    0    0    0    0    1,32      16,2048    2048,OK     23 ms,65.94 ms,7.39,2084.2,18.6,results match
444,578,0   64   32   32   32   16   32   16    2    2    1    0    0    1    1    1,32      16,2048    2048,OK     10 ms,44.45 ms,5.11,3091.3,26.9,results match
445,578,0   64   32   32   32   16   32   16    2    2    2    0    0    0    0    1,32      16,2048    2048,OK      9 ms,53.33 ms,6.26,2576.9,22.0,results match
446,578,0   64   32   32   32   16   32   16    2    2    2    0    0    1    1    1,32      16,2048    2048,OK     12 ms,43.29 ms,4.99,3174.6,27.6,results match
447,578,0   64   32   32   32   32   32   32    2    1    1    0    0    0    0    1,32      32,2048    4096,OK     10 ms,105.06 ms,11.45,1308.0,12.0,results match
448,578,0   64   32   32   32   32   32   32    2    1    1    0    0    1    1    1,32      32,2048    4096,OK      9 ms,77.23 ms,8.20,1779.5,16.8,results match
449,578,0   64   32   32   32   32   32   32    2    2    1    0    0    0    0    1,32      32,2048    4096,OK     11 ms,82.74 ms,9.34,1660.9,14.7,results match
450,578,0   64   32   32   32   32   32   32    2    2    1    0    0    1    1    1,32      32,2048    4096,OK      9 ms,61.05 ms,6.80,2251.1,20.2,results match
451,578,0   64   64   32    8    8    8    8    2    1    1    0    0    0    0    1,8       8,512     512,OK      9 ms,32.45 ms,3.64,4235.4,37.7,results match
452,578,0   64   64   32    8    8    8    8    2    1    1    0    0    1    1    1,8       8,512     512,OK      9 ms,36.91 ms,4.10,3722.8,33.5,results match
453,578,0   64   64   32    8    8    8    8    2    1    2    0    0    0    0    1,8       8,512     512,OK     10 ms,31.27 ms,3.46,4395.0,39.7,results match
454,578,0   64   64   32    8    8    8    8    2    1    2    0    0    1    1    1,8       8,512     512,OK      9 ms,33.30 ms,3.70,4126.7,37.2,results match
455,578,0   64   64   32    8    8    8    8    2    1    4    0    0    0    0    1,8       8,512     512,OK     11 ms,30.54 ms,3.42,4500.1,40.1,results match
456,578,0   64   64   32    8    8    8    8    2    1    4    0    0    1    1    1,8       8,512     512,OK     28 ms,32.39 ms,3.62,4242.7,38.0,results match
457,578,0   64   64   32    8    8    8    8    2    2    1    0    0    0    0    1,8       8,512     512,OK     12 ms,29.08 ms,3.38,4725.2,40.7,results match
458,578,0   64   64   32    8    8    8    8    2    2    1    0    0    1    1    1,8       8,512     512,OK     10 ms,30.84 ms,3.51,4456.4,39.1,results match
459,578,0   64   64   32    8    8    8    8    2    2    2    0    0    0    0    1,8       8,512     512,OK     10 ms,27.76 ms,3.28,4950.1,41.9,results match
460,578,0   64   64   32    8    8    8    8    2    2    2    0    0    1    1    1,8       8,512     512,OK     10 ms,29.97 ms,3.42,4585.2,40.2,results match
461,578,0   64   64   32    8    8    8    8    2    2    4    0    0    0    0    1,8       8,512     512,OK     11 ms,26.86 ms,3.12,5115.7,44.0,results match
462,578,0   64   64   32    8    8    8    8    2    2    4    0    0    1    1    1,8       8,512     512,OK     14 ms,27.76 ms,3.19,4949.7,43.1,results match
463,578,0   64   64   32    8    8    8    8    2    4    1    0    0    0    0    1,8       8,512     512,OK      9 ms,28.59 ms,3.34,4807.4,41.1,results match
464,578,0   64   64   32    8    8    8    8    2    4    1    0    0    1    1    1,8       8,512     512,OK     10 ms,28.93 ms,3.36,4750.6,40.9,results match
465,578,0   64   64   32    8    8    8    8    2    4    2    0    0    0    0    1,8       8,512     512,OK      9 ms,26.55 ms,3.17,5176.5,43.4,results match
466,578,0   64   64   32    8    8    8    8    2    4    2    0    0    1    1    1,8       8,512     512,OK     10 ms,26.71 ms,3.13,5145.3,44.0,results match
467,578,0   64   64   32    8    8    8    8    2    4    4    0    0    0    0    1,8       8,512     512,OK      9 ms,26.19 ms,3.10,5246.6,44.3,results match
468,578,0   64   64   32    8    8    8    8    2    4    4    0    0    1    1    1,8       8,512     512,OK      9 ms,26.45 ms,3.09,5195.7,44.5,results match
469,578,0   64   64   32    8   16    8   16    2    1    1    0    0    0    0    1,8      16,512    1024,OK     11 ms,34.99 ms,3.83,3927.2,35.9,results match
470,578,0   64   64   32    8   16    8   16    2    1    1    0    0    1    1    1,8      16,512    1024,OK     10 ms,35.43 ms,3.90,3879.2,35.3,results match
471,578,0   64   64   32    8   16    8   16    2    1    2    0    0    0    0    1,8      16,512    1024,OK     10 ms,33.77 ms,3.65,4069.0,37.6,results match
472,578,0   64   64   32    8   16    8   16    2    1    2    0    0    1    1    1,8      16,512    1024,OK     10 ms,33.48 ms,3.71,4104.1,37.1,results match
473,578,0   64   64   32    8   16    8   16    2    1    4    0    0    0    0    1,8      16,512    1024,OK     10 ms,31.80 ms,3.46,4321.0,39.8,results match
474,578,0   64   64   32    8   16    8   16    2    1    4    0    0    1    1    1,8      16,512    1024,OK     10 ms,32.44 ms,3.59,4236.7,38.2,results match
475,578,0   64   64   32    8   16    8   16    2    2    1    0    0    0    0    1,8      16,512    1024,OK     10 ms,32.35 ms,3.65,4248.0,37.7,results match
476,578,0   64   64   32    8   16    8   16    2    2    1    0    0    1    1    1,8      16,512    1024,OK     11 ms,30.89 ms,3.51,4449.4,39.2,results match
477,578,0   64   64   32    8   16    8   16    2    2    2    0    0    0    0    1,8      16,512    1024,OK     62 ms,31.42 ms,3.42,4373.3,40.2,results match
478,578,0   64   64   32    8   16    8   16    2    2    2    0    0    1    1    1,8      16,512    1024,OK     11 ms,29.85 ms,3.35,4603.2,41.1,results match
479,578,0   64   64   32    8   16    8   16    2    2    4    0    0    0    0    1,8      16,512    1024,OK     10 ms,29.39 ms,3.29,4676.3,41.8,results match
480,578,0   64   64   32    8   16    8   16    2    2    4    0    0    1    1    1,8      16,512    1024,OK     11 ms,29.41 ms,3.38,4671.8,40.7,results match
481,578,0   64   64   32    8   16    8   16    2    4    1    0    0    0    0    1,8      16,512    1024,OK     13 ms,30.85 ms,3.47,4455.2,39.6,results match
482,578,0   64   64   32    8   16    8   16    2    4    1    0    0    1    1    1,8      16,512    1024,OK     10 ms,28.69 ms,3.37,4789.6,40.7,results match
483,578,0   64   64   32    8   16    8   16    2    4    2    0    0    0    0    1,8      16,512    1024,OK     11 ms,30.59 ms,3.50,4493.0,39.2,results match
484,578,0   64   64   32    8   16    8   16    2    4    2    0    0    1    1    1,8      16,512    1024,OK     11 ms,28.31 ms,3.30,4854.3,41.6,results match
485,578,0   64   64   32    8   16    8   16    2    4    4    0    0    0    0    1,8      16,512    1024,OK     10 ms,27.54 ms,3.17,4990.6,43.3,results match
486,578,0   64   64   32    8   16    8   16    2    4    4    0    0    1    1    1,8      16,512    1024,OK     10 ms,27.60 ms,3.23,4979.6,42.6,results match
487,578,0   64   64   32    8   32    8   32    2    1    1    0    0    0    0    1,8      32,512    2048,OK     31 ms,48.58 ms,5.20,2828.8,26.4,results match
488,578,0   64   64   32    8   32    8   32    2    1    1    0    0    1    1    1,8      32,512    2048,OK     11 ms,45.35 ms,4.81,3030.1,28.6,results match
489,578,0   64   64   32    8   32    8   32    2    1    2    0    0    0    0    1,8      32,512    2048,OK     17 ms,45.44 ms,4.89,3024.2,28.1,results match
490,578,0   64   64   32    8   32    8   32    2    1    2    0    0    1    1    1,8      32,512    2048,OK     10 ms,42.41 ms,4.47,3240.1,30.7,results match
491,578,0   64   64   32    8   32    8   32    2    2    1    0    0    0    0    1,8      32,512    2048,OK      9 ms,43.91 ms,4.94,3129.6,27.8,results match
492,578,0   64   64   32    8   32    8   32    2    2    1    0    0    1    1    1,8      32,512    2048,OK     10 ms,38.47 ms,4.20,3572.6,32.7,results match
493,578,0   64   64   32    8   32    8   32    2    2    2    0    0    0    0    1,8      32,512    2048,OK     12 ms,40.98 ms,4.64,3353.0,29.6,results match
494,578,0   64   64   32    8   32    8   32    2    2    2    0    0    1    1    1,8      32,512    2048,OK      9 ms,37.60 ms,4.10,3654.5,33.5,results match
495,578,0   64   64   32    8   32    8   32    2    4    1    0    0    0    0    1,8      32,512    2048,OK      9 ms,39.30 ms,4.43,3496.6,31.0,results match
496,578,0   64   64   32    8   32    8   32    2    4    1    0    0    1    1    1,8      32,512    2048,OK     34 ms,35.74 ms,4.05,3844.7,34.0,results match
497,578,0   64   64   32    8   32    8   32    2    4    2    0    0    0    0    1,8      32,512    2048,OK     11 ms,37.44 ms,4.34,3670.7,31.7,results match
498,578,0   64   64   32    8   32    8   32    2    4    2    0    0    1    1    1,8      32,512    2048,OK     11 ms,35.15 ms,3.95,3909.0,34.8,results match
499,578,0   64   64   32   16    8   16    8    2    1    1    0    0    0    0    1,16       8,1024     512,OK     11 ms,34.55 ms,3.75,3977.4,36.6,results match
500,578,0   64   64   32   16    8   16    8    2    1    1    0    0    1    1    1,16       8,1024     512,OK     11 ms,34.67 ms,3.87,3963.7,35.5,results match
501,578,0   64   64   32   16    8   16    8    2    1    2    0    0    0    0    1,16       8,1024     512,OK     12 ms,32.64 ms,3.70,4210.8,37.1,results match
502,578,0   64   64   32   16    8   16    8    2    1    2    0    0    1    1    1,16       8,1024     512,OK     11 ms,31.21 ms,3.50,4403.5,39.3,results match
503,578,0   64   64   32   16    8   16    8    2    1    4    0    0    0    0    1,16       8,1024     512,OK     10 ms,31.95 ms,3.59,4300.5,38.3,results match
504,578,0   64   64   32   16    8   16    8    2    1    4    0    0    1    1    1,16       8,1024     512,OK     50 ms,29.58 ms,3.35,4646.1,41.0,results match
505,578,0   64   64   32   16    8   16    8    2    2    1    0    0    0    0    1,16       8,1024     512,OK     11 ms,32.28 ms,3.50,4257.2,39.2,results match
506,578,0   64   64   32   16    8   16    8    2    2    1    0    0    1    1    1,16       8,1024     512,OK     11 ms,29.99 ms,3.45,4581.7,39.8,results match
507,578,0   64   64   32   16    8   16    8    2    2    2    0    0    0    0    1,16       8,1024     512,OK      9 ms,29.47 ms,3.26,4663.5,42.2,results match
508,578,0   64   64   32   16    8   16    8    2    2    2    0    0    1    1    1,16       8,1024     512,OK     12 ms,29.23 ms,3.34,4700.8,41.2,results match
509,578,0   64   64   32   16    8   16    8    2    2    4    0    0    0    0    1,16       8,1024     512,OK      9 ms,29.84 ms,3.41,4605.2,40.3,results match
510,578,0   64   64   32   16    8   16    8    2    2    4    0    0    1    1    1,16       8,1024     512,OK     10 ms,27.60 ms,3.18,4978.9,43.2,results match
511,578,0   64   64   32   16    8   16    8    2    4    1    0    0    0    0    1,16       8,1024     512,OK     10 ms,31.02 ms,3.39,4430.1,40.6,results match
512,578,0   64   64   32   16    8   16    8    2    4    1    0    0    1    1    1,16       8,1024     512,OK     11 ms,26.70 ms,3.16,5147.0,43.5,results match
513,578,0   64   64   32   16    8   16    8    2    4    2    0    0    0    0    1,16       8,1024     512,OK      9 ms,28.89 ms,3.18,4757.5,43.2,results match
514,578,0   64   64   32   16    8   16    8    2    4    2    0    0    1    1    1,16       8,1024     512,OK     19 ms,26.95 ms,3.16,5099.2,43.5,results match
515,578,0   64   64   32   16    8   16    8    2    4    4    0    0    0    0    1,16       8,1024     512,OK     12 ms,27.46 ms,3.05,5005.1,45.1,results match
516,578,0   64   64   32   16    8   16    8    2    4    4    0    0    1    1    1,16       8,1024     512,OK     12 ms,26.68 ms,3.10,5151.0,44.3,results match
517,578,0   64   64   32   16   16   16   16    2    1    1    0    0    0    0    1,16      16,1024    1024,OK     10 ms,43.41 ms,4.84,3165.7,28.4,results match
518,578,0   64   64   32   16   16   16   16    2    1    1    0    0    1    1    1,16      16,1024    1024,OK     11 ms,38.40 ms,4.16,3578.3,33.0,results match
519,578,0   64   64   32   16   16   16   16    2    1    2    0    0    0    0    1,16      16,1024    1024,OK     10 ms,40.71 ms,4.50,3375.6,30.5,results match
520,578,0   64   64   32   16   16   16   16    2    1    2    0    0    1    1    1,16      16,1024    1024,OK     10 ms,35.26 ms,3.90,3897.2,35.2,results match
521,578,0   64   64   32   16   16   16   16    2    1    4    0    0    0    0    1,16      16,1024    1024,OK     10 ms,35.47 ms,4.08,3874.5,33.7,results match
522,578,0   64   64   32   16   16   16   16    2    1    4    0    0    1    1    1,16      16,1024    1024,OK     11 ms,33.64 ms,3.68,4084.6,37.3,results match
523,578,0   64   64   32   16   16   16   16    2    2    1    0    0    0    0    1,16      16,1024    1024,OK     10 ms,39.82 ms,4.58,3451.2,30.0,results match
524,578,0   64   64   32   16   16   16   16    2    2    1    0    0    1    1    1,16      16,1024    1024,OK     13 ms,33.08 ms,3.73,4154.1,36.9,results match
525,578,0   64   64   32   16   16   16   16    2    2    2    0    0    0    0    1,16      16,1024    1024,OK     11 ms,35.57 ms,4.00,3863.4,34.4,results match
526,578,0   64   64   32   16   16   16   16    2    2    2    0    0    1    1    1,16      16,1024    1024,OK     10 ms,32.25 ms,3.59,4260.7,38.3,results match
527,578,0   64   64   32   16   16   16   16    2    2    4    0    0    0    0    1,16      16,1024    1024,OK     56 ms,33.39 ms,3.87,4115.8,35.5,results match
528,578,0   64   64   32   16   16   16   16    2    2    4    0    0    1    1    1,16      16,1024    1024,OK     12 ms,30.63 ms,3.47,4487.2,39.6,results match
529,578,0   64   64   32   16   16   16   16    2    4    1    0    0    0    0    1,16      16,1024    1024,OK     11 ms,36.74 ms,4.02,3740.2,34.2,results match
530,578,0   64   64   32   16   16   16   16    2    4    1    0    0    1    1    1,16      16,1024    1024,OK     10 ms,29.10 ms,3.36,4721.9,40.9,results match
531,578,0   64   64   32   16   16   16   16    2    4    2    0    0    0    0    1,16      16,1024    1024,OK     12 ms,33.71 ms,3.74,4077.1,36.7,results match
532,578,0   64   64   32   16   16   16   16    2    4    2    0    0    1    1    1,16      16,1024    1024,OK     12 ms,28.49 ms,3.30,4823.6,41.7,results match
533,578,0   64   64   32   16   16   16   16    2    4    4    0    0    0    0    1,16      16,1024    1024,OK     12 ms,30.91 ms,3.63,4446.1,37.8,results match
534,578,0   64   64   32   16   16   16   16    2    4    4    0    0    1    1    1,16      16,1024    1024,OK     11 ms,28.02 ms,3.22,4903.7,42.7,results match
535,578,0   64   64   32   16   32   16   32    2    1    1    0    0    0    0    1,16      32,1024    2048,OK     13 ms,56.97 ms,6.24,2412.4,22.0,results match
536,578,0   64   64   32   16   32   16   32    2    1    1    0    0    1    1    1,16      32,1024    2048,OK     11 ms,48.13 ms,5.09,2855.1,27.0,results match
537,578,0   64   64   32   16   32   16   32    2    1    2    0    0    0    0    1,16      32,1024    2048,OK     11 ms,49.78 ms,5.56,2760.5,24.7,results match
538,578,0   64   64   32   16   32   16   32    2    1    2    0    0    1    1    1,16      32,1024    2048,OK     43 ms,43.36 ms,4.59,3169.6,30.0,results match
539,578,0   64   64   32   16   32   16   32    2    2    1    0    0    0    0    1,16      32,1024    2048,OK     12 ms,52.07 ms,5.79,2639.3,23.7,results match
540,578,0   64   64   32   16   32   16   32    2    2    1    0    0    1    1    1,16      32,1024    2048,OK     12 ms,40.41 ms,4.45,3400.4,30.9,results match
541,578,0   64   64   32   16   32   16   32    2    2    2    0    0    0    0    1,16      32,1024    2048,OK     11 ms,44.46 ms,4.99,3091.2,27.5,results match
542,578,0   64   64   32   16   32   16   32    2    2    2    0    0    1    1    1,16      32,1024    2048,OK     12 ms,39.41 ms,4.34,3486.7,31.6,results match
543,578,0   64   64   32   16   32   16   32    2    4    1    0    0    0    0    1,16      32,1024    2048,OK     10 ms,43.99 ms,4.83,3124.2,28.5,results match
544,578,0   64   64   32   16   32   16   32    2    4    1    0    0    1    1    1,16      32,1024    2048,OK     11 ms,33.14 ms,3.70,4146.3,37.2,results match
545,578,0   64   64   32   16   32   16   32    2    4    2    0    0    0    0    1,16      32,1024    2048,OK     12 ms,38.48 ms,4.45,3570.8,30.9,results match
546,578,0   64   64   32   16   32   16   32    2    4    2    0    0    1    1    1,16      32,1024    2048,OK     14 ms,32.61 ms,3.61,4213.9,38.1,results match
547,578,0   64   64   32   32    8   32    8    2    1    1    0    0    0    0    1,32       8,2048     512,OK     14 ms,45.23 ms,5.08,3038.0,27.1,results match
548,578,0   64   64   32   32    8   32    8    2    1    1    0    0    1    1    1,32       8,2048     512,OK     11 ms,41.45 ms,4.47,3315.3,30.7,results match
549,578,0   64   64   32   32    8   32    8    2    1    2    0    0    0    0    1,32       8,2048     512,OK     22 ms,37.96 ms,4.19,3619.9,32.8,results match
550,578,0   64   64   32   32    8   32    8    2    1    2    0    0    1    1    1,32       8,2048     512,OK     15 ms,34.15 ms,3.72,4024.7,36.9,results match
551,578,0   64   64   32   32    8   32    8    2    1    4    0    0    0    0    1,32       8,2048     512,OK     12 ms,38.15 ms,4.26,3602.0,32.2,results match
552,578,0   64   64   32   32    8   32    8    2    1    4    0    0    1    1    1,32       8,2048     512,OK     14 ms,32.05 ms,3.54,4288.2,38.8,results match
553,578,0   64   64   32   32    8   32    8    2    2    1    0    0    0    0    1,32       8,2048     512,OK     10 ms,42.35 ms,4.53,3244.8,30.4,results match
554,578,0   64   64   32   32    8   32    8    2    2    1    0    0    1    1    1,32       8,2048     512,OK     10 ms,32.53 ms,3.58,4224.6,38.4,results match
555,578,0   64   64   32   32    8   32    8    2    2    2    0    0    0    0    1,32       8,2048     512,OK     11 ms,36.64 ms,3.99,3750.7,34.5,results match
556,578,0   64   64   32   32    8   32    8    2    2    2    0    0    1    1    1,32       8,2048     512,OK     11 ms,32.31 ms,3.52,4252.9,39.1,results match
557,578,0   64   64   32   32    8   32    8    2    2    4    0    0    0    0    1,32       8,2048     512,OK     10 ms,34.18 ms,3.85,4020.1,35.7,results match
558,578,0   64   64   32   32    8   32    8    2    2    4    0    0    1    1    1,32       8,2048     512,OK     12 ms,30.09 ms,3.34,4567.8,41.2,results match
559,578,0   64   64   32   32   16   32   16    2    1    1    0    0    0    0    1,32      16,2048    1024,OK     11 ms,55.19 ms,5.98,2489.9,23.0,results match
560,578,0   64   64   32   32   16   32   16    2    1    1    0    0    1    1    1,32      16,2048    1024,OK     10 ms,45.36 ms,4.82,3029.4,28.5,results match
561,578,0   64   64   32   32   16   32   16    2    1    2    0    0    0    0    1,32      16,2048    1024,OK     11 ms,47.92 ms,5.36,2867.5,25.6,results match
562,578,0   64   64   32   32   16   32   16    2    1    2    0    0    1    1    1,32      16,2048    1024,OK     12 ms,38.73 ms,4.19,3547.8,32.8,results match
563,578,0   64   64   32   32   16   32   16    2    1    4    0    0    0    0    1,32      16,2048    1024,OK     15 ms,42.49 ms,4.79,3234.1,28.7,results match
564,578,0   64   64   32   32   16   32   16    2    1    4    0    0    1    1    1,32      16,2048    1024,OK     24 ms,36.55 ms,4.00,3760.2,34.4,results match
565,578,0   64   64   32   32   16   32   16    2    2    1    0    0    0    0    1,32      16,2048    1024,OK     11 ms,50.57 ms,5.41,2717.4,25.4,results match
566,578,0   64   64   32   32   16   32   16    2    2    1    0    0    1    1    1,32      16,2048    1024,OK     13 ms,34.76 ms,3.78,3953.8,36.4,results match
567,578,0   64   64   32   32   16   32   16    2    2    2    0    0    0    0    1,32      16,2048    1024,OK     10 ms,45.96 ms,5.17,2989.9,26.6,results match
568,578,0   64   64   32   32   16   32   16    2    2    2    0    0    1    1    1,32      16,2048    1024,OK     11 ms,34.18 ms,3.68,4020.6,37.3,results match
569,578,0   64   64   32   32   16   32   16    2    2    4    0    0    0    0    1,32      16,2048    1024,OK      9 ms,37.55 ms,4.32,3660.0,31.8,results match
570,578,0   64   64   32   32   16   32   16    2    2    4    0    0    1    1    1,32      16,2048    1024,OK     29 ms,31.67 ms,3.47,4338.8,39.6,results match
571,578,0   64   64   32   32   32   32   32    2    1    1    0    0    0    0    1,32      32,2048    2048,OK      9 ms,71.53 ms,7.69,1921.3,17.9,results match
572,578,0   64   64   32   32   32   32   32    2    1    1    0    0    1    1    1,32      32,2048    2048,OK     10 ms,52.35 ms,5.46,2624.9,25.2,results match
573,578,0   64   64   32   32   32   32   32    2    1    2    0    0    0    0    1,32      32,2048    2048,OK     10 ms,62.28 ms,6.79,2206.5,20.2,results match
574,578,0   64   64   32   32   32   32   32    2    1    2    0    0    1    1    1,32      32,2048    2048,OK     10 ms,46.87 ms,4.91,2932.1,28.0,results match
575,578,0   64   64   32   32   32   32   32    2    2    1    0    0    0    0    1,32      32,2048    2048,OK     11 ms,62.06 ms,6.72,2214.3,20.4,results match
576,578,0   64   64   32   32   32   32   32    2    2    1    0    0    1    1    1,32      32,2048    2048,OK     12 ms,39.93 ms,4.27,3441.3,32.2,results match
577,578,0   64   64   32   32   32   32   32    2    2    2    0    0    0    0    1,32      32,2048    2048,OK     10 ms,50.57 ms,5.68,2717.3,24.2,results match
578,578,0   64   64   32   32   32   32   32    2    2    2    0    0    1    1    1,32      32,2048    2048,OK     10 ms,39.07 ms,4.21,3517.3,32.7,results match
