|   ID | total |                                                                           param |      local      |      global     |       compiles |         time |          J |  GFLOP/s |     GFLOP/watt |            status |
x------x-------x---------------------------------------------------------------------------------x-----------------x-----------------x----------------x--------------x------------x----------x----------------x-------------------x
|   28 |   578 |    0   16   32   32    8    8    8    8    2    2    2    0    0    1    1    1 |       8       8 |    2048    1024 |   OK      8 ms |     25.21 ms |       5.02 |   5451.9 |           27.3 |     results match |
|   29 |   578 |    0   16   32   32    8    8    8    8    2    2    4    0    0    0    0    1 |       8       8 |    2048    1024 |   OK      9 ms |     22.46 ms |       4.40 |   6117.4 |           31.2 |     results match |
|   30 |   578 |    0   16   32   32    8    8    8    8    2    2    4    0    0    1    1    1 |       8       8 |    2048    1024 |   OK      9 ms |     22.85 ms |       4.53 |   6013.6 |           30.3 |     results match |
|   31 |   578 |    0   16   32   32    8   16    8   16    2    1    1    0    0    0    0    1 |       8      16 |    2048    2048 |   OK      9 ms |     45.44 ms |       9.04 |   3024.2 |           15.2 |     results match |
|   32 |   578 |    0   16   32   32    8   16    8   16    2    1    1    0    0    1    1    1 |       8      16 |    2048    2048 |   OK      8 ms |     37.11 ms |       7.33 |   3702.7 |           18.7 |     results match |
|   33 |   578 |    0   16   32   32    8   16    8   16    2    1    2    0    0    0    0    1 |       8      16 |    2048    2048 |   OK      9 ms |     36.17 ms |       7.14 |   3799.6 |           19.2 |     results match |
|   34 |   578 |    0   16   32   32    8   16    8   16    2    1    2    0    0    1    1    1 |       8      16 |    2048    2048 |   OK      9 ms |     29.91 ms |       5.88 |   4594.1 |           23.4 |     results match |
|   35 |   578 |    0   16   32   32    8   16    8   16    2    2    1    0    0    0    0    1 |       8      16 |    2048    2048 |   OK      8 ms |     38.62 ms |       7.60 |   3558.0 |           18.1 |     results match |
|   36 |   578 |    0   16   32   32    8   16    8   16    2    2    1    0    0    1    1    1 |       8      16 |    2048    2048 |   OK     10 ms |     28.52 ms |       5.65 |   4818.0 |           24.3 |     results match |
|   37 |   578 |    0   16   32   32    8   16    8   16    2    2    2    0    0    0    0    1 |       8      16 |    2048    2048 |   OK      8 ms |     31.09 ms |       6.16 |   4420.8 |           22.3 |     results match |
|   38 |   578 |    0   16   32   32    8   16    8   16    2    2    2    0    0    1    1    1 |       8      16 |    2048    2048 |   OK      9 ms |     26.95 ms |       5.35 |   5099.5 |           25.7 |     results match |
|   39 |   578 |    0   16   32   32    8   32    8   32    2    1    1    0    0    0    0    1 |       8      32 |    2048    4096 |   OK      9 ms |     60.46 ms |      12.04 |   2272.9 |           11.4 |     results match |
|   40 |   578 |    0   16   32   32    8   32    8   32    2    1    1    0    0    1    1    1 |       8      32 |    2048    4096 |   OK      9 ms |     42.25 ms |       8.39 |   3252.9 |           16.4 |     results match |
|   41 |   578 |    0   16   32   32    8   32    8   32    2    2    1    0    0    0    0    1 |       8      32 |    2048    4096 |   OK      8 ms |     44.62 ms |       8.82 |   3080.0 |           15.6 |     results match |
|   42 |   578 |    0   16   32   32    8   32    8   32    2    2    1    0    0    1    1    1 |       8      32 |    2048    4096 |   OK      9 ms |     39.94 ms |       7.86 |   3440.4 |           17.5 |     results match |
|   43 |   578 |    0   16   32   32   16    8   16    8    2    1    1    0    0    0    0    1 |      16       8 |    4096    1024 |   OK      9 ms |     50.36 ms |       9.94 |   2728.7 |           13.8 |     results match |
|   44 |   578 |    0   16   32   32   16    8   16    8    2    1    1    0    0    1    1    1 |      16       8 |    4096    1024 |   OK     10 ms |     43.34 ms |       8.55 |   3171.1 |           16.1 |     results match |
|   45 |   578 |    0   16   32   32   16    8   16    8    2    1    2    0    0    0    0    1 |      16       8 |    4096    1024 |   OK     10 ms |     37.67 ms |       7.41 |   3648.5 |           18.6 |     results match |
|   46 |   578 |    0   16   32   32   16    8   16    8    2    1    2    0    0    1    1    1 |      16       8 |    4096    1024 |   OK     10 ms |     30.68 ms |       6.04 |   4479.9 |           22.8 |     results match |
|   47 |   578 |    0   16   32   32   16    8   16    8    2    1    4    0    0    0    0    1 |      16       8 |    4096    1024 |   OK     10 ms |     33.66 ms |       6.62 |   4083.1 |           20.8 |     results match |
|   48 |   578 |    0   16   32   32   16    8   16    8    2    1    4    0    0    1    1    1 |      16       8 |    4096    1024 |   OK      9 ms |     27.34 ms |       5.38 |   5025.7 |           25.5 |     results match |
|   49 |   578 |    0   16   32   32   16   16   16   16    2    1    1    0    0    0    0    1 |      16      16 |    4096    2048 |   OK     11 ms |     60.14 ms |      11.96 |   2284.9 |           11.5 |     results match |
|   50 |   578 |    0   16   32   32   16   16   16   16    2    1    1    0    0    1    1    1 |      16      16 |    4096    2048 |   OK      9 ms |     44.45 ms |       8.76 |   3091.9 |           15.7 |     results match |
|   51 |   578 |    0   16   32   32   16   16   16   16    2    1    2    0    0    0    0    1 |      16      16 |    4096    2048 |   OK     11 ms |     44.41 ms |       8.73 |   3094.5 |           15.7 |     results match |
|   52 |   578 |    0   16   32   32   16   16   16   16    2    1    2    0    0    1    1    1 |      16      16 |    4096    2048 |   OK     10 ms |     32.21 ms |       6.41 |   4265.9 |           21.4 |     results match |
|   53 |   578 |    0   16   32   32   16   32   16   32    2    1    1    0    0    0    0    1 |      16      32 |    4096    4096 |   OK      9 ms |     76.14 ms |      15.13 |   1805.0 |            9.1 |     results match |
|   54 |   578 |    0   16   32   32   16   32   16   32    2    1    1    0    0    1    1    1 |      16      32 |    4096    4096 |   OK      8 ms |     51.17 ms |      10.21 |   2685.8 |           13.5 |     results match |
|   55 |   578 |    0   16   64   32    8    8    8    8    2    1    1    0    0    0    0    1 |       8       8 |    2048     512 |   OK     16 ms |     26.70 ms |       5.25 |   5147.6 |           26.2 |     results match |
