|   ID | total |                                                                           param |      local      |      global     |       compiles |         time |          J |  GFLOP/s |     GFLOP/watt |            status |
x------x-------x---------------------------------------------------------------------------------x-----------------x-----------------x----------------x--------------x------------x----------x----------------x-------------------x
|    1 |   578 |    0   16   16   32    8    8    8    8    2    1    1    0    0    0    0    1 |       8       8 |    2048    2048 |   OK     28 ms |     52.01 ms |      15.08 |   2642.4 |            9.1 |     results match |
|    2 |   578 |    0   16   16   32    8    8    8    8    2    1    1    0    0    1    1    1 |       8       8 |    2048    2048 |   OK     26 ms |     40.86 ms |      12.09 |   3363.3 |           11.4 |     results match |
|    3 |   578 |    0   16   16   32    8    8    8    8    2    1    2    0    0    0    0    1 |       8       8 |    2048    2048 |   OK     31 ms |     41.99 ms |      12.29 |   3272.8 |           11.2 |     results match |
|    4 |   578 |    0   16   16   32    8    8    8    8    2    1    2    0    0    1    1    1 |       8       8 |    2048    2048 |   OK     29 ms |     32.65 ms |       9.64 |   4208.9 |           14.3 |     results match |
|    5 |   578 |    0   16   16   32    8    8    8    8    2    2    1    0    0    0    0    1 |       8       8 |    2048    2048 |   OK     26 ms |     37.55 ms |      11.17 |   3659.4 |           12.3 |     results match |
|    6 |   578 |    0   16   16   32    8    8    8    8    2    2    1    0    0    1    1    1 |       8       8 |    2048    2048 |   OK     30 ms |     31.58 ms |       9.46 |   4351.3 |           14.5 |     results match |
|    7 |   578 |    0   16   16   32    8    8    8    8    2    2    2    0    0    0    0    1 |       8       8 |    2048    2048 |   OK     24 ms |     30.66 ms |       9.06 |   4482.5 |           15.2 |     results match |
|    8 |   578 |    0   16   16   32    8    8    8    8    2    2    2    0    0    1    1    1 |       8       8 |    2048    2048 |   OK     27 ms |     29.51 ms |       8.74 |   4656.7 |           15.7 |     results match |
|    9 |   578 |    0   16   16   32    8   16    8   16    2    1    1    0    0    0    0    1 |       8      16 |    2048    4096 |   OK     36 ms |     60.96 ms |      17.83 |   2254.3 |            7.7 |     results match |
